,
,
data_traditional.tif,
Emission wavelength,500 nm
NA,1.35
Refraction index,1.33
Voxel size,116 nm x 116 nm x 116 nm
Bead diameter,100 nm
,
Frame size,10 pixels
Threshold,1306
,
Theoretical FWHM in XY,190 nm
Theoratical FWHM in Z,642 nm
,
HeatMap Statistics,
FWHM min,285 nm +/- 4 nm
FWHMmin / Theoretical FWHMxy,1.504 +/- 0.019
FWHM max,315 nm +/- 7 nm
FWHMmax / Theoretical FWHMxy,1.66 +/- 0.04
FWHM z,857 nm +/- 44 nm
FWHMz / Theoretical FWHMz,1.334 +/- 0.068
z0,+/- 2.35 um
(z0 - mean(z0)) / FWHMz,+/- 3.658
Asymmetry,0.917 +/- 0.024
Theta,-33.1 deg +/- 8.4 deg
,

Bead Id,x0 (um),y0 (um),z0 (um),FWHM min (um),FWHM max (um),FWHM z (um),z0 - mean(z0) (um),Asymmetry,Theta (degrees),R^2 FWHM min/max,R^2 FWHMz,Fit valid,Centroid brightness,Fitted Brightness(A),Fitted background(B),Image name
147,42.493,9.656,11.253,0.287,0.295,0.723,-2.665,0.971,-26.399,0.99,0.996,1,7453,8584.957,269.645,data_traditional
148,34.114,-7.676,11.423,0.282,0.294,0.723,-2.495,0.959,-67.261,0.991,0.995,1,12374,14601.604,386.474,data_traditional
149,-44.395,19.164,11.414,0.289,0.307,0.75,-2.504,0.939,-5.133,0.992,0.997,1,7962,9171.0,249.464,data_traditional
150,43.735,15.061,11.571,0.282,0.298,0.679,-2.347,0.943,-25.201,0.988,0.996,1,12111,12404.797,383.138,data_traditional
151,49.698,12.259,11.499,0.291,0.294,0.704,-2.419,0.987,-65.014,0.987,0.996,1,8543,10283.275,311.149,data_traditional
152,-34.689,23.893,11.593,0.282,0.309,0.721,-2.325,0.914,-15.805,0.994,0.996,1,12144,13131.075,282.082,data_traditional
153,1.047,17.511,11.73,0.298,0.326,0.846,-2.188,0.912,-11.654,0.982,0.979,1,7602,10835.965,242.271,data_traditional
154,46.113,13.957,11.675,0.287,0.305,0.802,-2.243,0.939,-7.914,0.988,0.999,1,7710,8513.33,291.155,data_traditional
155,46.637,20.664,11.849,0.286,0.3,0.754,-2.069,0.952,-61.298,0.989,0.998,1,8313,8936.983,292.783,data_traditional
156,-42.89,-23.782,11.758,0.284,0.296,0.756,-2.16,0.959,3.104,0.993,0.996,1,6825,7917.525,228.142,data_traditional
157,45.983,-23.775,11.781,0.284,0.294,0.737,-2.136,0.968,-1.384,0.988,0.996,1,8210,8780.972,308.906,data_traditional
158,47.552,-25.014,12.008,0.298,0.332,0.931,-1.91,0.899,-8.148,0.981,0.988,1,7136,9020.872,311.849,data_traditional
159,4.774,21.651,12.24,0.279,0.301,0.807,-1.678,0.928,-19.428,0.993,0.993,1,13395,13966.707,370.659,data_traditional
160,-41.78,-8.2,11.815,0.276,0.303,0.756,-2.103,0.913,-6.573,0.992,0.997,1,4745,5155.543,187.597,data_traditional
161,-51.997,8.765,11.962,0.287,0.318,0.827,-1.956,0.9,-4.666,0.993,0.996,1,3988,4775.397,175.908,data_traditional
162,43.347,-7.374,12.306,0.279,0.287,0.837,-1.612,0.971,-21.356,0.989,0.996,1,8687,10354.244,360.233,data_traditional
163,-38.781,-10.097,12.152,0.278,0.308,0.759,-1.766,0.903,-17.948,0.992,0.996,1,6348,6664.431,204.258,data_traditional
164,-9.457,-5.411,12.288,0.277,0.292,0.786,-1.63,0.947,-21.755,0.993,0.996,1,8716,10403.596,276.342,data_traditional
165,-26.697,-0.064,12.291,0.298,0.324,0.88,-1.627,0.919,-5.927,0.983,0.976,1,6224,6298.308,193.223,data_traditional
166,-22.827,-19.787,12.325,0.293,0.32,0.906,-1.593,0.915,8.459,0.984,0.983,1,4918,7077.753,204.669,data_traditional
167,-19.452,24.871,12.659,0.284,0.3,0.792,-1.258,0.946,-23.367,0.993,0.996,1,12764,15179.309,332.057,data_traditional
168,42.252,-7.834,12.582,0.283,0.297,0.833,-1.336,0.953,-33.276,0.988,0.997,1,8632,10745.56,350.762,data_traditional
169,8.461,-12.539,12.758,0.298,0.313,0.775,-1.16,0.952,-5.898,0.981,0.989,1,13658,13352.115,319.163,data_traditional
170,-0.685,-23.269,13.09,0.275,0.286,0.783,-0.828,0.961,-11.929,0.993,0.99,1,10312,12235.3,294.466,data_traditional
171,1.48,-20.744,13.176,0.278,0.296,0.759,-0.742,0.938,-19.117,0.992,0.997,1,12706,13455.656,337.726,data_traditional
172,-42.04,0.854,13.11,0.283,0.302,0.779,-0.808,0.938,-5.267,0.991,0.997,1,6078,7507.129,235.446,data_traditional
